0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
74.0,78.0,84.0,83.0,79.0,75.0,74.0,76.0,74.0,71.0,77.0,72.0,80.0,81.0,85.0,76.0,73.0,79.0,74.0,74.0,69.0
78.0,84.0,83.0,79.0,75.0,74.0,76.0,74.0,71.0,77.0,72.0,80.0,81.0,85.0,76.0,73.0,79.0,74.0,74.0,69.0,74.0
84.0,83.0,79.0,75.0,74.0,76.0,74.0,71.0,77.0,72.0,80.0,81.0,85.0,76.0,73.0,79.0,74.0,74.0,69.0,74.0,73.0
83.0,79.0,75.0,74.0,76.0,74.0,71.0,77.0,72.0,80.0,81.0,85.0,76.0,73.0,79.0,74.0,74.0,69.0,74.0,73.0,73.0
79.0,75.0,74.0,76.0,74.0,71.0,77.0,72.0,80.0,81.0,85.0,76.0,73.0,79.0,74.0,74.0,69.0,74.0,73.0,73.0,79.0
75.0,74.0,76.0,74.0,71.0,77.0,72.0,80.0,81.0,85.0,76.0,73.0,79.0,74.0,74.0,69.0,74.0,73.0,73.0,79.0,85.0
74.0,76.0,74.0,71.0,77.0,72.0,80.0,81.0,85.0,76.0,73.0,79.0,74.0,74.0,69.0,74.0,73.0,73.0,79.0,85.0,81.0
76.0,74.0,71.0,77.0,72.0,80.0,81.0,85.0,76.0,73.0,79.0,74.0,74.0,69.0,74.0,73.0,73.0,79.0,85.0,81.0,76.0
74.0,71.0,77.0,72.0,80.0,81.0,85.0,76.0,73.0,79.0,74.0,74.0,69.0,74.0,73.0,73.0,79.0,85.0,81.0,76.0,73.0
71.0,77.0,72.0,80.0,81.0,85.0,76.0,73.0,79.0,74.0,74.0,69.0,74.0,73.0,73.0,79.0,85.0,81.0,76.0,73.0,70.0
77.0,72.0,80.0,81.0,85.0,76.0,73.0,79.0,74.0,74.0,69.0,74.0,73.0,73.0,79.0,85.0,81.0,76.0,73.0,70.0,67.0
72.0,80.0,81.0,85.0,76.0,73.0,79.0,74.0,74.0,69.0,74.0,73.0,73.0,79.0,85.0,81.0,76.0,73.0,70.0,67.0,67.0
80.0,81.0,85.0,76.0,73.0,79.0,74.0,74.0,69.0,74.0,73.0,73.0,79.0,85.0,81.0,76.0,73.0,70.0,67.0,67.0,69.0
81.0,85.0,76.0,73.0,79.0,74.0,74.0,69.0,74.0,73.0,73.0,79.0,85.0,81.0,76.0,73.0,70.0,67.0,67.0,69.0,74.0
85.0,76.0,73.0,79.0,74.0,74.0,69.0,74.0,73.0,73.0,79.0,85.0,81.0,76.0,73.0,70.0,67.0,67.0,69.0,74.0,70.0
76.0,73.0,79.0,74.0,74.0,69.0,74.0,73.0,73.0,79.0,85.0,81.0,76.0,73.0,70.0,67.0,67.0,69.0,74.0,70.0,68.0
73.0,79.0,74.0,74.0,69.0,74.0,73.0,73.0,79.0,85.0,81.0,76.0,73.0,70.0,67.0,67.0,69.0,74.0,70.0,68.0,77.0
79.0,74.0,74.0,69.0,74.0,73.0,73.0,79.0,85.0,81.0,76.0,73.0,70.0,67.0,67.0,69.0,74.0,70.0,68.0,77.0,82.0
